model_id	results_id
r10501_k0	p_r_10501_k0_reaction_10501
r10501_kd	p_r_10501_kd_reaction_10501
r10502_k0	p_r_10502_k0_reaction_10502
r10502_kd	p_r_10502_kd_reaction_10502
r10503_k0	p_r_10503_k0_reaction_10503
r10503_kd	p_r_10503_kd_reaction_10503
r10504_k0	p_r_10504_k0_reaction_10504
r10504_kd	p_r_10504_kd_reaction_10504
r10505_k0	p_r_10505_k0_reaction_10505
r10505_kd	p_r_10505_kd_reaction_10505
r10506_k0	p_r_10506_k0_reaction_10506
r10506_kd	p_r_10506_kd_reaction_10506
r10507_k0	p_r_10507_k0_reaction_10507
r10507_kd	p_r_10507_kd_reaction_10507
r10508_k0	p_r_10508_k0_reaction_10508
r10508_kd	p_r_10508_kd_reaction_10508
r10509_k0	p_r_10509_k0_reaction_10509
r10509_kd	p_r_10509_kd_reaction_10509
r10510_k0	p_r_10510_k0_reaction_10510
r10511_k0	p_r_10511_k0_reaction_10511
r10512_k0	p_r_10512_k0_reaction_10512
r10513_k0	p_r_10513_k0_reaction_10513
r10514_k0	p_r_10514_k0_reaction_10514
r10515_k0	p_r_10515_k0_reaction_10515
r10516_k0	p_r_10516_k0_reaction_10516
r10517_k0	p_r_10517_k0_reaction_10517
r10518_k0	p_r_10518_k0_reaction_10518
r10519_k0	p_r_10519_k0_reaction_10519
r10522_k0	p_r_10522_k0_reaction_10522
r10523_k0	p_r_10523_k0_reaction_10523
r10524_k0	p_r_10524_k0_reaction_10524
r10525_k0	p_r_10525_k0_reaction_10525
r10526_k0	p_r_10526_k0_reaction_10526
r10527_k0	p_r_10527_k0_reaction_10527
r10528_k0	p_r_10528_k0_reaction_10528
r10529_k0	p_r_10529_k0_reaction_10529
r10531_kE3	p_r_10531_kE3_reaction_10531
r10531_kE2	p_r_10531_kE2_reaction_10531
r10531_kE1	p_r_10531_kE1_reaction_10531
r10536_k0	p_r_10536_k0_reaction_10536
r10537_k0	p_r_10537_k0_reaction_10537
r10538_k0	p_r_10538_k0_reaction_10538
r10539_k0	p_r_10539_k0_reaction_10539
r10539_kd	p_r_10539_kd_reaction_10539
r10540_k0	p_r_10540_k0_reaction_10540
r10540_kd	p_r_10540_kd_reaction_10540
r10541_k0	p_r_10541_k0_reaction_10541
r10541_kd	p_r_10541_kd_reaction_10541
r10542_k0	p_r_10542_k0_reaction_10542
r10542_kd	p_r_10542_kd_reaction_10542
r10543_k0	p_r_10543_k0_reaction_10543
r10543_kd	p_r_10543_kd_reaction_10543
r10544_k0	p_r_10544_k0_reaction_10544
r10544_kd	p_r_10544_kd_reaction_10544
r10545_k0	p_r_10545_k0_reaction_10545
r10545_kd	p_r_10545_kd_reaction_10545
r10546_k0	p_r_10546_k0_reaction_10546
r10546_kd	p_r_10546_kd_reaction_10546
r10547_k0	p_r_10547_k0_reaction_10547
r10547_kd	p_r_10547_kd_reaction_10547
r10548_k0	p_r_10548_k0_reaction_10548
r10548_kd	p_r_10548_kd_reaction_10548
r10549_k0	p_r_10549_k0_reaction_10549
r10549_kd	p_r_10549_kd_reaction_10549
r1055_k0	p_r_1055_k0_reaction_1055
r10550_k0	p_r_10550_k0_reaction_10550
r10551_k0	p_r_10551_k0_reaction_10551
r10552_k0	p_r_10552_k0_reaction_10552
r10553_k0	p_r_10553_k0_reaction_10553
r10554_k0	p_r_10554_k0_reaction_10554
r10555_k0	p_r_10555_k0_reaction_10555
r10556_k0	p_r_10556_k0_reaction_10556
r10557_k0	p_r_10557_k0_reaction_10557
r10558_k0	p_r_10558_k0_reaction_10558
r10559_k0	p_r_10559_k0_reaction_10559
r10562_k0	p_r_10562_k0_reaction_10562
r10563_k0	p_r_10563_k0_reaction_10563
r10564_k0	p_r_10564_k0_reaction_10564
r10565_k0	p_r_10565_k0_reaction_10565
r10566_k0	p_r_10566_k0_reaction_10566
r10567_k0	p_r_10567_k0_reaction_10567
r10568_k0	p_r_10568_k0_reaction_10568
r10569_k0	p_r_10569_k0_reaction_10569
r10571_kE3	p_r_10571_kE3_reaction_10571
r10571_kE2	p_r_10571_kE2_reaction_10571
r10571_kE1	p_r_10571_kE1_reaction_10571
r10576_k0	p_r_10576_k0_reaction_10576
r10577_k0	p_r_10577_k0_reaction_10577
r10578_k0	p_r_10578_k0_reaction_10578
r10579_k0	p_r_10579_k0_reaction_10579
r10579_kd	p_r_10579_kd_reaction_10579
r10580_k0	p_r_10580_k0_reaction_10580
r10580_kd	p_r_10580_kd_reaction_10580
r10581_k0	p_r_10581_k0_reaction_10581
r10581_kd	p_r_10581_kd_reaction_10581
r10582_k0	p_r_10582_k0_reaction_10582
r10582_kd	p_r_10582_kd_reaction_10582
r10583_k0	p_r_10583_k0_reaction_10583
r10583_kd	p_r_10583_kd_reaction_10583
r10584_k0	p_r_10584_k0_reaction_10584
r10584_kd	p_r_10584_kd_reaction_10584
r10585_k0	p_r_10585_k0_reaction_10585
r10585_kd	p_r_10585_kd_reaction_10585
r10586_k0	p_r_10586_k0_reaction_10586
r10586_kd	p_r_10586_kd_reaction_10586
r10587_k0	p_r_10587_k0_reaction_10587
r10587_kd	p_r_10587_kd_reaction_10587
r10588_k0	p_r_10588_k0_reaction_10588
r10588_kd	p_r_10588_kd_reaction_10588
r10589_k0	p_r_10589_k0_reaction_10589
r10589_kd	p_r_10589_kd_reaction_10589
r10590_k0	p_r_10590_k0_reaction_10590
r10591_k0	p_r_10591_k0_reaction_10591
r10592_k0	p_r_10592_k0_reaction_10592
r10593_k0	p_r_10593_k0_reaction_10593
r10594_k0	p_r_10594_k0_reaction_10594
r10595_k0	p_r_10595_k0_reaction_10595
r10596_k0	p_r_10596_k0_reaction_10596
r10597_k0	p_r_10597_k0_reaction_10597
r10598_k0	p_r_10598_k0_reaction_10598
r10599_k0	p_r_10599_k0_reaction_10599
r10602_k0	p_r_10602_k0_reaction_10602
r10603_k0	p_r_10603_k0_reaction_10603
r10604_k0	p_r_10604_k0_reaction_10604
r10605_k0	p_r_10605_k0_reaction_10605
r10606_k0	p_r_10606_k0_reaction_10606
r10607_k0	p_r_10607_k0_reaction_10607
r10608_k0	p_r_10608_k0_reaction_10608
r10609_k0	p_r_10609_k0_reaction_10609
r10611_kE3	p_r_10611_kE3_reaction_10611
r10611_kE2	p_r_10611_kE2_reaction_10611
r10611_kE1	p_r_10611_kE1_reaction_10611
r10623_k0	p_r_10623_k0_reaction_10623
r10623_kE1	p_r_10623_kE1_reaction_10623
r10624_k0	p_r_10624_k0_reaction_10624
r10624_kE1	p_r_10624_kE1_reaction_10624
r10625_k0	p_r_10625_k0_reaction_10625
r10625_kE1	p_r_10625_kE1_reaction_10625
r10627_k0	p_r_10627_k0_reaction_10627
r10627_kE1	p_r_10627_kE1_reaction_10627
r10628_k0	p_r_10628_k0_reaction_10628
r10628_kE1	p_r_10628_kE1_reaction_10628
r10640_kE3	p_r_10640_kE3_reaction_10640
r10640_kE2	p_r_10640_kE2_reaction_10640
r10640_kE1	p_r_10640_kE1_reaction_10640
r10641_kE3	p_r_10641_kE3_reaction_10641
r10641_kE2	p_r_10641_kE2_reaction_10641
r10641_kE1	p_r_10641_kE1_reaction_10641
r10642_kE3	p_r_10642_kE3_reaction_10642
r10642_kE2	p_r_10642_kE2_reaction_10642
r10642_kE1	p_r_10642_kE1_reaction_10642
r10643_kE3	p_r_10643_kE3_reaction_10643
r10643_kE2	p_r_10643_kE2_reaction_10643
r10643_kE1	p_r_10643_kE1_reaction_10643
r10644_kE3	p_r_10644_kE3_reaction_10644
r10644_kE2	p_r_10644_kE2_reaction_10644
r10644_kE1	p_r_10644_kE1_reaction_10644
r10645_kE3	p_r_10645_kE3_reaction_10645
r10645_kE2	p_r_10645_kE2_reaction_10645
r10645_kE1	p_r_10645_kE1_reaction_10645
r10648_k0	p_r_10648_k0_reaction_10648
r10649_k0	p_r_10649_k0_reaction_10649
r10650_k0	p_r_10650_k0_reaction_10650
r10651_k0	p_r_10651_k0_reaction_10651
r10652_k0	p_r_10652_k0_reaction_10652
r10653_k0	p_r_10653_k0_reaction_10653
r10654_k0	p_r_10654_k0_reaction_10654
r10655_k0	p_r_10655_k0_reaction_10655
r10656_k0	p_r_10656_k0_reaction_10656
r10657_k0	p_r_10657_k0_reaction_10657
r10658_k0	p_r_10658_k0_reaction_10658
r10659_k0	p_r_10659_k0_reaction_10659
r10660_k0	p_r_10660_k0_reaction_10660
r10662_k0	p_r_10662_k0_reaction_10662
r10664_k0	p_r_10664_k0_reaction_10664
r10665_k0	p_r_10665_k0_reaction_10665
r10666_k0	p_r_10666_k0_reaction_10666
r10667_k0	p_r_10667_k0_reaction_10667
r10668_k0	p_r_10668_k0_reaction_10668
r10669_k0	p_r_10669_k0_reaction_10669
r10670_k0	p_r_10670_k0_reaction_10670
r10671_k0	p_r_10671_k0_reaction_10671
r10672_k0	p_r_10672_k0_reaction_10672
r10973_k_GeneSpecificScaling	p_r_10973_k_GeneSpecificScaling_reaction_10973
r10974_k0	p_r_10974_k0_reaction_10974
r10975_k0	p_r_10975_k0_reaction_10975
r10975_kd	p_r_10975_kd_reaction_10975
r10976_k0	p_r_10976_k0_reaction_10976
r10976_kd	p_r_10976_kd_reaction_10976
r10977_kE1	p_r_10977_kE1_reaction_10977
r10977_kd	p_r_10977_kd_reaction_10977
r10978_k0	p_r_10978_k0_reaction_10978
r10979_k0	p_r_10979_k0_reaction_10979
r10980_k0	p_r_10980_k0_reaction_10980
r10982_kE1	p_r_10982_kE1_reaction_10982
r10982_kd	p_r_10982_kd_reaction_10982
r10983_kE1	p_r_10983_kE1_reaction_10983
r10983_kd	p_r_10983_kd_reaction_10983
r10984_kE1	p_r_10984_kE1_reaction_10984
r10984_kd	p_r_10984_kd_reaction_10984
r10985_k0	p_r_10985_k0_reaction_10985
r10985_kd	p_r_10985_kd_reaction_10985
r10986_k_GeneSpecificScaling	p_r_10986_k_GeneSpecificScaling_reaction_10986
r10987_k0	p_r_10987_k0_reaction_10987
r10988_k_GeneSpecificScaling	p_r_10988_k_GeneSpecificScaling_reaction_10988
r10989_k0	p_r_10989_k0_reaction_10989
r10990_k_GeneSpecificScaling	p_r_10990_k_GeneSpecificScaling_reaction_10990
r10991_k0	p_r_10991_k0_reaction_10991
r10992_k0	p_r_10992_k0_reaction_10992
r10992_kd	p_r_10992_kd_reaction_10992
r10993_k0	p_r_10993_k0_reaction_10993
r10993_kd	p_r_10993_kd_reaction_10993
r10994_kE1	p_r_10994_kE1_reaction_10994
r10994_kd	p_r_10994_kd_reaction_10994
r10995_kE1	p_r_10995_kE1_reaction_10995
r10995_kd	p_r_10995_kd_reaction_10995
r10996_kE1	p_r_10996_kE1_reaction_10996
r10996_kd	p_r_10996_kd_reaction_10996
r10997_kE1	p_r_10997_kE1_reaction_10997
r10997_kd	p_r_10997_kd_reaction_10997
r10998_k0	p_r_10998_k0_reaction_10998
r10999_k0	p_r_10999_k0_reaction_10999
r11000_k0	p_r_11000_k0_reaction_11000
r11002_k0	p_r_11002_k0_reaction_11002
r11002_kd	p_r_11002_kd_reaction_11002
r11003_k0	p_r_11003_k0_reaction_11003
r11003_kd	p_r_11003_kd_reaction_11003
r11004_k0	p_r_11004_k0_reaction_11004
r11004_kd	p_r_11004_kd_reaction_11004
r11005_kE1	p_r_11005_kE1_reaction_11005
r11005_kd	p_r_11005_kd_reaction_11005
r11006_kE1	p_r_11006_kE1_reaction_11006
r11006_kd	p_r_11006_kd_reaction_11006
r11007_kE1	p_r_11007_kE1_reaction_11007
r11007_kd	p_r_11007_kd_reaction_11007
r11008_kE1	p_r_11008_kE1_reaction_11008
r11008_kd	p_r_11008_kd_reaction_11008
r11009_k0	p_r_11009_k0_reaction_11009
r11010_k0	p_r_11010_k0_reaction_11010
r11011_k0	p_r_11011_k0_reaction_11011
r11013_k0	p_r_11013_k0_reaction_11013
r11013_kd	p_r_11013_kd_reaction_11013
r11014_k0	p_r_11014_k0_reaction_11014
r11014_kd	p_r_11014_kd_reaction_11014
r11015_k0	p_r_11015_k0_reaction_11015
r11015_kd	p_r_11015_kd_reaction_11015
r11016_kE1	p_r_11016_kE1_reaction_11016
r11016_kd	p_r_11016_kd_reaction_11016
r11017_kE1	p_r_11017_kE1_reaction_11017
r11017_kd	p_r_11017_kd_reaction_11017
r11018_kE1	p_r_11018_kE1_reaction_11018
r11018_kd	p_r_11018_kd_reaction_11018
r11019_kE1	p_r_11019_kE1_reaction_11019
r11019_kd	p_r_11019_kd_reaction_11019
r11020_k0	p_r_11020_k0_reaction_11020
r11021_k0	p_r_11021_k0_reaction_11021
r11022_k0	p_r_11022_k0_reaction_11022
r11024_k0	p_r_11024_k0_reaction_11024
r11024_kd	p_r_11024_kd_reaction_11024
r11072_k0	p_r_11072_k0_reaction_11072
r11072_kd	p_r_11072_kd_reaction_11072
r11073_kE1	p_r_11073_kE1_reaction_11073
r11075_k0	p_r_11075_k0_reaction_11075
r11076_k0	p_r_11076_k0_reaction_11076
r11076_kd	p_r_11076_kd_reaction_11076
r11292_k0	p_r_11292_k0_reaction_11292
r11293_k0	p_r_11293_k0_reaction_11293
r11294_k0	p_r_11294_k0_reaction_11294
r11295_k0	p_r_11295_k0_reaction_11295
r11296_k0	p_r_11296_k0_reaction_11296
r11297_k0	p_r_11297_k0_reaction_11297
r11409_k0	p_r_11409_k0_reaction_11409
r1254_k_GeneSpecificScaling	p_r_1254_k_GeneSpecificScaling_reaction_1254
r1269_k0	p_r_1269_k0_reaction_1269
r1275_k0	p_r_1275_k0_reaction_1275
r1275_kd	p_r_1275_kd_reaction_1275
r136_k0	p_r_136_k0_reaction_136
r140_k0	p_r_140_k0_reaction_140
r1523_k_GeneSpecificScaling	p_r_1523_k_GeneSpecificScaling_reaction_1523
r1524_k0	p_r_1524_k0_reaction_1524
r1525_k_GeneSpecificScaling	p_r_1525_k_GeneSpecificScaling_reaction_1525
r1526_k0	p_r_1526_k0_reaction_1526
r15281_k0	p_r_15281_k0_reaction_15281
r15297_k0	p_r_15297_k0_reaction_15297
r15297_kd	p_r_15297_kd_reaction_15297
r15298_k0	p_r_15298_k0_reaction_15298
r15298_kd	p_r_15298_kd_reaction_15298
r15299_k0	p_r_15299_k0_reaction_15299
r15299_kd	p_r_15299_kd_reaction_15299
r15301_kE3	p_r_15301_kE3_reaction_15301
r15301_kE2	p_r_15301_kE2_reaction_15301
r15301_kE1	p_r_15301_kE1_reaction_15301
r15302_k0	p_r_15302_k0_reaction_15302
r15303_k0	p_r_15303_k0_reaction_15303
r1535_k_GeneSpecificScaling	p_r_1535_k_GeneSpecificScaling_reaction_1535
r1536_k0	p_r_1536_k0_reaction_1536
r15406_k0	p_r_15406_k0_reaction_15406
r15407_k0	p_r_15407_k0_reaction_15407
r15777_k_GeneSpecificScaling	p_r_15777_k_GeneSpecificScaling_reaction_15777
r15778_k0	p_r_15778_k0_reaction_15778
r1592_k_GeneSpecificScaling	p_r_1592_k_GeneSpecificScaling_reaction_1592
r1593_k0	p_r_1593_k0_reaction_1593
r1615_k_GeneSpecificScaling	p_r_1615_k_GeneSpecificScaling_reaction_1615
r1616_k0	p_r_1616_k0_reaction_1616
r1617_k_GeneSpecificScaling	p_r_1617_k_GeneSpecificScaling_reaction_1617
r16176_kE1	p_r_16176_kE1_reaction_16176
r16178_k0	p_r_16178_k0_reaction_16178
r1618_k0	p_r_1618_k0_reaction_1618
r16181_k_GeneSpecificScaling	p_r_16181_k_GeneSpecificScaling_reaction_16181
r16182_k0	p_r_16182_k0_reaction_16182
r16182_kd	p_r_16182_kd_reaction_16182
r16184_k0	p_r_16184_k0_reaction_16184
r16185_k0	p_r_16185_k0_reaction_16185
r16186_kE1	p_r_16186_kE1_reaction_16186
r16188_k0	p_r_16188_k0_reaction_16188
r16189_k0	p_r_16189_k0_reaction_16189
r16189_kE1	p_r_16189_kE1_reaction_16189
r162_k0	p_r_162_k0_reaction_162
r162_kd	p_r_162_kd_reaction_162
r1621_k_GeneSpecificScaling	p_r_1621_k_GeneSpecificScaling_reaction_1621
r1622_k0	p_r_1622_k0_reaction_1622
r16237_k0	p_r_16237_k0_reaction_16237
r16237_kE1	p_r_16237_kE1_reaction_16237
r16259_k0	p_r_16259_k0_reaction_16259
r1627_k_GeneSpecificScaling	p_r_1627_k_GeneSpecificScaling_reaction_1627
r1628_k0	p_r_1628_k0_reaction_1628
r1634_k0	p_r_1634_k0_reaction_1634
r1634_kd	p_r_1634_kd_reaction_1634
r1635_kE3	p_r_1635_kE3_reaction_1635
r1635_kE2	p_r_1635_kE2_reaction_1635
r1635_kE1	p_r_1635_kE1_reaction_1635
r1635_kd	p_r_1635_kd_reaction_1635
r16374_k0	p_r_16374_k0_reaction_16374
r16375_k0	p_r_16375_k0_reaction_16375
r16376_k_GeneSpecificScaling	p_r_16376_k_GeneSpecificScaling_reaction_16376
r16377_k0	p_r_16377_k0_reaction_16377
r16379_k0	p_r_16379_k0_reaction_16379
r16380_k0	p_r_16380_k0_reaction_16380
r16381_k0	p_r_16381_k0_reaction_16381
r16381_kd	p_r_16381_kd_reaction_16381
r16382_k0	p_r_16382_k0_reaction_16382
r16383_k0	p_r_16383_k0_reaction_16383
r16383_kd	p_r_16383_kd_reaction_16383
r16384_k0	p_r_16384_k0_reaction_16384
r16387_k0	p_r_16387_k0_reaction_16387
r16388_k0	p_r_16388_k0_reaction_16388
r16389_k0	p_r_16389_k0_reaction_16389
r16389_kd	p_r_16389_kd_reaction_16389
r16390_k0	p_r_16390_k0_reaction_16390
r16392_k0	p_r_16392_k0_reaction_16392
r16392_kd	p_r_16392_kd_reaction_16392
r16393_k0	p_r_16393_k0_reaction_16393
r1641_k0	p_r_1641_k0_reaction_1641
r16447_k_GeneSpecificScaling	p_r_16447_k_GeneSpecificScaling_reaction_16447
r16448_k0	p_r_16448_k0_reaction_16448
r1645_k0	p_r_1645_k0_reaction_1645
r1645_kE1	p_r_1645_kE1_reaction_1645
r16450_k0	p_r_16450_k0_reaction_16450
r16451_k0	p_r_16451_k0_reaction_16451
r16452_k0	p_r_16452_k0_reaction_16452
r16453_k0	p_r_16453_k0_reaction_16453
r16454_k0	p_r_16454_k0_reaction_16454
r16455_k0	p_r_16455_k0_reaction_16455
r16456_k0	p_r_16456_k0_reaction_16456
r16457_k0	p_r_16457_k0_reaction_16457
r16457_kd	p_r_16457_kd_reaction_16457
r16458_k0	p_r_16458_k0_reaction_16458
r16458_kd	p_r_16458_kd_reaction_16458
r16459_k0	p_r_16459_k0_reaction_16459
r16459_kd	p_r_16459_kd_reaction_16459
r1646_k0	p_r_1646_k0_reaction_1646
r1646_kd	p_r_1646_kd_reaction_1646
r16460_k0	p_r_16460_k0_reaction_16460
r16460_kd	p_r_16460_kd_reaction_16460
r16461_k0	p_r_16461_k0_reaction_16461
r16461_kd	p_r_16461_kd_reaction_16461
r16462_k0	p_r_16462_k0_reaction_16462
r16462_kd	p_r_16462_kd_reaction_16462
r16463_k0	p_r_16463_k0_reaction_16463
r16463_kd	p_r_16463_kd_reaction_16463
r16464_k0	p_r_16464_k0_reaction_16464
r16464_kd	p_r_16464_kd_reaction_16464
r16465_k0	p_r_16465_k0_reaction_16465
r16465_kd	p_r_16465_kd_reaction_16465
r16466_k0	p_r_16466_k0_reaction_16466
r16466_kd	p_r_16466_kd_reaction_16466
r16467_k0	p_r_16467_k0_reaction_16467
r16467_kd	p_r_16467_kd_reaction_16467
r16468_k0	p_r_16468_k0_reaction_16468
r16469_k0	p_r_16469_k0_reaction_16469
r1647_kE3	p_r_1647_kE3_reaction_1647
r1647_kE2	p_r_1647_kE2_reaction_1647
r1647_kE1	p_r_1647_kE1_reaction_1647
r1647_kd	p_r_1647_kd_reaction_1647
r16470_k0	p_r_16470_k0_reaction_16470
r16471_k0	p_r_16471_k0_reaction_16471
r16472_k0	p_r_16472_k0_reaction_16472
